LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-121.7551135,37.688592,106,APRICOT ST,,LIVERMORE,,,94551,99-1390-6,46f1d8baad020b8e
-121.7550762,37.6885432,108,APRICOT ST,,LIVERMORE,,,94551,99-1390-6,05e2fa5b284d37f1
-121.7550403,37.6884963,110,APRICOT ST,,LIVERMORE,,,94551,99-1390-6,706e54a4ac229215
-121.7549982,37.6884445,112,APRICOT ST,,LIVERMORE,,,94551,99-1390-6,c1528df0f85883e7
-121.7549623,37.6883976,114,APRICOT ST,,LIVERMORE,,,94551,99-1390-6,f59ea8deefcdb725
-121.755187,37.6887023,102,APRICOT ST,,LIVERMORE,,,94551,99-1390-6,0119d8752910a9a2
-121.7546264,37.6883424,215,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-6,6e1ea127f396496d
-121.7545864,37.6882901,217,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-6,567bda290a4e312e
-121.754549,37.6882413,219,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-6,d31e1b1618391808
-121.7545131,37.6881944,221,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-6,c0c1c0d94c576bf1
-121.7544711,37.6881426,223,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-6,871ec2536b109952
-121.7544351,37.6880957,225,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-6,7a9f6a14e29d47e8
-121.7549362,37.688742,203,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-6,68f359a74fbd74b0
-121.7548962,37.6886897,205,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-6,64882712e67e1c76
-121.7548588,37.6886409,207,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-6,5286233eeb3e1d67
-121.7548229,37.688594,209,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-6,bd6e709de4926b6f
-121.7547808,37.6885422,211,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-6,ebee805b925a7c22
-121.7547449,37.6884953,213,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-6,06dbcfedd8961923
-121.7549697,37.6888,201,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-6,d3b91abbdc4426e2
-121.7556095,37.6887424,101,APRICOT ST,,LIVERMORE,,,94551,99-1390-5,c8a59d457eed55f7
